customerID,firstName,lastName,age,email,identityCode,additionalInfo,created,inserted_date,updated_date
14,Theda,Hawtrey,39,thawtreyd@cnn.com,469261,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,1,12/21/2018,5/29/2019
15,Raina,Millam,38,rmillame@clickbank.net,341936,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,0,6/24/2018,12/24/2018
16,Ado,Durek,41,adurekf@blogs.com,637977,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,0,12/10/2018,3/17/2019
17,Elliot,Hovell,21,ehovellg@squidoo.com,820188,vestibulum sit amet cursus id turpis integer aliquet massa id,1,12/14/2018,7/27/2018
18,Lutero,Frankcom,37,lfrankcomh@sogou.com,339901,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,0,6/3/2018,12/6/2018
19,Lanni,Speakman,18,lspeakmani@dmoz.org,682010,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,0,11/21/2018,3/22/2019
20,Brynna,Basile,27,bbasilej@wordpress.com,876632,ac est lacinia nisi venenatis tristique fusce congue diam id,0,12/9/2018,6/25/2018
21,Jud,Sciusscietto,31,jsciussciettok@nyu.edu,433949,duis aliquam convallis nunc proin at turpis a pede posuere nonummy,1,8/16/2018,5/1/2019
22,Charla,Reis,20,creisl@posterous.com,258147,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,1,10/7/2018,10/15/2018
23,Yvette,Walstow,23,ywalstowm@eepurl.com,129954,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,0,7/8/2018,2/16/2019
24,Lanny,Rickeard,39,lrickeardn@indiatimes.com,778341,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,0,5/20/2019,5/10/2019
25,Shermy,Swiggs,28,sswiggso@independent.co.uk,512830,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,1,11/21/2018,1/12/2019
26,Claudian,Digby,22,cdigbyp@wisc.edu,190574,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,1,9/11/2018,9/3/2018
27,Fleming,Waterworth,33,fwaterworthq@un.org,224805,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,0,6/14/2018,8/27/2018
28,Gregorio,Bere,43,gberer@pbs.org,552489,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,1,6/28/2018,2/4/2019
29,Briny,Blackwell,37,bblackwells@drupal.org,260106,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,0,4/3/2019,7/3/2018
30,Corny,Crickmore,42,ccrickmoret@hexun.com,183997,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,1,3/13/2019,8/11/2018
31,Collette,Gooddie,18,cgooddieu@hao123.com,922318,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,0,9/21/2018,3/23/2019
32,Sadye,Scudder,18,sscudderv@apple.com,711275,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,10/26/2018,8/23/2018
33,My,Stolz,28,mstolzw@cdc.gov,494146,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,0,10/15/2018,7/24/2018
34,Cordey,Danielovitch,24,cdanielovitchx@dropbox.com,819131,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,0,1/13/2019,11/16/2018
35,Ogdan,Betser,33,obetsery@canalblog.com,658696,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,1,4/28/2019,6/1/2018
36,Silvano,Phillip,18,sphillipz@washington.edu,108435,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,0,12/13/2018,5/12/2019
37,Sandra,Dowson,23,sdowson10@sbwire.com,548916,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,1,8/12/2018,1/22/2019
38,Gusti,Topping,31,gtopping11@berkeley.edu,959006,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,0,10/14/2018,3/18/2019
39,Lorenzo,O'Luby,37,loluby12@bluehost.com,277899,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,1,11/3/2018,3/11/2019
40,Pryce,Placide,33,pplacide13@nih.gov,214480,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,1,6/10/2018,3/1/2019
41,Edi,Jodkowski,42,ejodkowski14@discovery.com,864889,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,1,4/24/2019,5/6/2019
42,Iormina,Brightman,35,ibrightman15@altervista.org,142529,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,1,6/26/2018,2/9/2019
43,Angie,Tuvey,18,atuvey16@china.com.cn,467288,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,0,5/29/2019,2/21/2019
44,Breena,Easman,39,beasman17@ovh.net,786494,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,1,12/18/2018,5/18/2019
45,Monti,Neylon,24,mneylon18@virginia.edu,880819,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,1,10/24/2018,12/6/2018
46,Osbourn,Giovannacci,36,ogiovannacci19@marriott.com,398081,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,1,1/26/2019,9/29/2018
47,Si,Cervantes,36,scervantes1a@yale.edu,414180,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,1,8/19/2018,10/22/2018
48,Harli,Sedman,26,hsedman1b@un.org,900109,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,0,8/1/2018,10/31/2018
49,Almeria,Ragg,33,aragg1c@usgs.gov,168646,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,0,10/13/2018,2/19/2019
50,Yank,Ambroziak,37,yambroziak1d@storify.com,466452,felis donec semper sapien a libero nam dui proin leo odio porttitor,0,9/5/2018,6/5/2018
51,Jessie,Swede,23,jswede1e@lycos.com,823559,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,1,4/22/2019,9/29/2018
52,Eolande,Estcourt,36,eestcourt1f@oracle.com,476657,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,1,12/16/2018,1/6/2019
53,Harris,Halvorsen,19,hhalvorsen1g@cornell.edu,977657,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,0,12/17/2018,2/2/2019
54,Austine,Posvner,21,aposvner1h@omniture.com,720771,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,1,8/9/2018,9/12/2018
55,Torin,Pickerin,34,tpickerin1i@google.nl,220223,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,1,6/4/2018,5/7/2019
56,Beauregard,Canty,22,bcanty1j@newsvine.com,642542,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,10/23/2018,9/21/2018
57,Melba,Jacquemard,41,mjacquemard1k@sbwire.com,600949,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,1,7/17/2018,7/27/2018
58,Smith,Mont,32,smont1l@google.nl,533168,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,0,8/8/2018,6/12/2018
59,Siward,Shiell,30,sshiell1m@odnoklassniki.ru,333905,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,0,3/19/2019,4/30/2019
60,Xymenes,Busk,41,xbusk1n@twitter.com,883715,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,1,5/24/2019,3/26/2019
61,Benoite,Atherley,20,batherley1o@nifty.com,387534,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,0,7/7/2018,3/22/2019
62,Valery,Cardon,35,vcardon1p@forbes.com,392056,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,1,7/17/2018,3/3/2019
63,Fernando,Henricsson,21,fhenricsson1q@ezinearticles.com,509636,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1,6/2/2018,2/22/2019
64,Linnea,Farfoot,36,lfarfoot1r@macromedia.com,109727,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,1,7/15/2018,10/21/2018
65,Kata,Laughton,18,klaughton1s@oakley.com,993994,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,0,7/8/2018,5/23/2019
66,Cyrill,Worts,28,cworts1t@tmall.com,798079,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,1,4/8/2019,6/9/2018
67,Meagan,Litzmann,38,mlitzmann1u@ovh.net,238422,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,1,8/11/2018,8/23/2018
68,Wynn,Cartin,42,wcartin1v@squidoo.com,311567,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,0,2/23/2019,10/20/2018
69,Kin,Hayworth,42,khayworth1w@washingtonpost.com,833040,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,0,6/26/2018,2/12/2019
70,Shaine,Bourget,37,sbourget1x@jalbum.net,841190,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,0,2/8/2019,1/12/2019
71,Chrysa,Brushneen,28,cbrushneen1y@rakuten.co.jp,179753,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,1,12/29/2018,9/11/2018
72,Gherardo,Klimentyev,21,gklimentyev1z@bloomberg.com,215392,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,0,2/17/2019,11/21/2018
73,Henry,Aird,43,haird20@wsj.com,172880,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,0,1/5/2019,2/2/2019
74,Jerrold,Spray,27,jspray21@addthis.com,305897,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,0,11/26/2018,1/1/2019
75,Fabio,Lepope,43,flepope22@tmall.com,620600,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,1,9/10/2018,2/18/2019
76,Helge,Foresight,41,hforesight23@rakuten.co.jp,140611,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,1,5/20/2019,2/23/2019
77,Barret,Crysell,25,bcrysell24@usgs.gov,945454,phasellus in felis donec semper sapien a libero nam dui proin,0,11/14/2018,10/7/2018
78,Abba,Gregr,23,agregr25@google.ca,150172,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,1,6/22/2018,6/29/2018
79,Charles,Babbidge,18,cbabbidge26@last.fm,532366,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,1,4/5/2019,11/9/2018
80,Emiline,Wiltshear,39,ewiltshear27@canalblog.com,549255,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,0,2/28/2019,8/6/2018
81,Nico,Christofor,24,nchristofor28@scientificamerican.com,668722,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,0,12/14/2018,5/5/2019
82,Luz,Heinonen,28,lheinonen29@harvard.edu,233224,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,1,8/28/2018,10/10/2018
83,Sheba,Ebanks,35,sebanks2a@yale.edu,583444,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,0,12/9/2018,3/30/2019
84,Waldo,Yesinov,26,wyesinov2b@seattletimes.com,884403,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,1,11/22/2018,10/4/2018
85,Stepha,Mulberry,39,smulberry2c@ox.ac.uk,757187,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,1,8/7/2018,2/22/2019
86,Nadine,McGavigan,19,nmcgavigan2d@aboutads.info,540614,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,1,5/6/2019,8/11/2018
87,Ingmar,Yarwood,22,iyarwood2e@samsung.com,989170,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,0,4/3/2019,1/29/2019
88,Riley,Killeen,25,rkilleen2f@aol.com,631785,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,1,12/15/2018,8/31/2018
89,Maggi,Vinter,31,mvinter2g@example.com,874740,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1,11/17/2018,6/25/2018
90,Mike,Dunkerton,23,mdunkerton2h@nps.gov,613182,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1,12/1/2018,8/25/2018
91,Joachim,Orred,27,jorred2i@mozilla.org,738340,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,0,7/16/2018,1/18/2019
92,Alic,McNelly,42,amcnelly2j@prweb.com,231240,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,1,8/2/2018,2/11/2019
93,Jessalyn,Chomicki,32,jchomicki2k@ocn.ne.jp,618904,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,0,12/15/2018,9/4/2018
94,Jilly,Deluce,27,jdeluce2l@list-manage.com,926152,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,1,11/2/2018,3/6/2019
95,Francisco,Cluney,27,fcluney2m@stumbleupon.com,559482,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,1,1/22/2019,10/12/2018
96,Jazmin,Billin,41,jbillin2n@economist.com,450868,turpis a pede posuere nonummy integer non velit donec diam neque,0,3/21/2019,7/9/2018
97,Joane,Petcher,41,jpetcher2o@themeforest.net,454722,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,0,8/14/2018,3/15/2019
98,Oswell,Sainter,28,osainter2p@yahoo.co.jp,139907,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,1,3/14/2019,12/25/2018
99,Willy,Toomer,27,wtoomer2q@wsj.com,214833,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,1,1/7/2019,7/10/2018
100,Dannel,Comar,34,dcomar2r@cafepress.com,244297,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,1,8/29/2018,11/2/2018
